Origin,Destination,Value
Argentina,Costa Rica,6
Argentina,Ecuador,0
Argentina,France,0
Argentina,Germany,0
Argentina,Greece,0
Argentina,Israel,0
Argentina,Italy,13
Argentina,Liechtenstein,0
Argentina,Mexico,0
Argentina,Netherlands,0
Argentina,Panama,0
Argentina,Peru,0
Argentina,Spain,11
Argentina,Sweden,0
Argentina,Switzerland,0
Argentina,United Kingdom,0
Argentina,United States of America,232
Argentina,Uruguay,0
Armenia,Argentina,180
Armenia,Australia,0
Armenia,Austria,673
Armenia,Azerbaijan,0
Armenia,Belarus,0
Armenia,Belgium,220
Armenia,Brazil,5
Armenia,Bulgaria,13
Armenia,Canada,17
Armenia,Costa Rica,0
Armenia,Croatia,0
Armenia,Cyprus,19
Armenia,Czech Rep.,81
Armenia,Denmark,47
Armenia,Ecuador,0
Armenia,Estonia,0
Armenia,Finland,0
Armenia,France,1432
Armenia,Georgia,0
Armenia,Germany,9030
Armenia,Greece,99
Armenia,Hungary,0
Armenia,Iceland,0
Armenia,Ireland,9
Armenia,Israel,29
Armenia,Italy,261
Armenia,Lebanon,0
Armenia,Liechtenstein,0
Armenia,Lithuania,19
Armenia,Luxembourg,0
Armenia,Malta,0
Armenia,Netherlands,79
Armenia,Norway,0
Armenia,Panama,7
Armenia,Peru,0
Armenia,Philippines,0
Armenia,Poland,29
Armenia,Portugal,0
Armenia,Rep. of Korea,0
Armenia,Rep. of Moldova,0
Armenia,Romania,0
Armenia,Russian Federation,0
Armenia,Slovakia,0
Armenia,Spain,173
Armenia,Sweden,281
Armenia,Switzerland,104
Armenia,Ukraine,28
Armenia,United Kingdom,40
Armenia,United States of America,2032
Australia,Austria,0
Australia,Brazil,0
Australia,Canada,0
Australia,Costa Rica,0
Australia,Germany,0
Australia,Greece,0
Australia,Italy,0
Australia,Sweden,0
Australia,United Kingdom,0
Australia,United States of America,0
Austria,Australia,0
Austria,Canada,9
Austria,France,0
Austria,Germany,0
Austria,Israel,0
Austria,Panama,0
Austria,Switzerland,0
Austria,United States of America,14
Azerbaijan,Armenia,0
Azerbaijan,Australia,14
Azerbaijan,Austria,214
Azerbaijan,Azerbaijan,0
Azerbaijan,Belarus,0
Azerbaijan,Belgium,65
Azerbaijan,Bosnia and Herzegovina,0
Azerbaijan,Bulgaria,0
Azerbaijan,Canada,424
Azerbaijan,Croatia,0
Azerbaijan,Cyprus,0
Azerbaijan,Czech Rep.,73
Azerbaijan,Denmark,29
Azerbaijan,Ecuador,0
Azerbaijan,Egypt,0
Azerbaijan,Estonia,0
Azerbaijan,Finland,9
Azerbaijan,France,306
Azerbaijan,Georgia,9
Azerbaijan,Germany,6788
Azerbaijan,Greece,0
Azerbaijan,Hungary,0
Azerbaijan,Iceland,5
Azerbaijan,Ireland,0
Azerbaijan,Israel,13
Azerbaijan,Italy,15
Azerbaijan,Latvia,0
Azerbaijan,Lithuania,5
Azerbaijan,Luxembourg,5
Azerbaijan,Morocco,0
Azerbaijan,Netherlands,78
Azerbaijan,Nicaragua,0
Azerbaijan,Norway,0
Azerbaijan,Poland,0
Azerbaijan,Rep. of Korea,0
Azerbaijan,Rep. of Moldova,0
Azerbaijan,Russian Federation,5
Azerbaijan,Spain,36
Azerbaijan,Sweden,380
Azerbaijan,Switzerland,85
Azerbaijan,Turkey,0
Azerbaijan,Turkmenistan,0
Azerbaijan,Ukraine,46
Azerbaijan,United Kingdom,58
Azerbaijan,United States of America,875
Azerbaijan,Uzbekistan,0
Bahamas,Canada,169
Bahamas,Germany,0
Bahamas,Italy,0
Bahamas,Sweden,0
Bahamas,United Kingdom,0
Bahamas,United States of America,61
Bahrain,Australia,18
Bahrain,Brazil,0
Bahrain,Canada,19
Bahrain,Denmark,0
Bahrain,France,0
Bahrain,Georgia,0
Bahrain,Germany,18
Bahrain,Iraq,39
Bahrain,Ireland,6
Bahrain,Italy,0
Bahrain,Lebanon,8
Bahrain,Netherlands,5
Bahrain,New Zealand,0
Bahrain,Sweden,0
Bahrain,Switzerland,0
Bahrain,Syrian Arab Rep.,5
Bahrain,Thailand,0
Bahrain,Turkey,0
Bahrain,United Kingdom,18
Bahrain,United States of America,29
Bangladesh,Argentina,57
Bangladesh,Australia,857
Bangladesh,Austria,445
Bangladesh,Belarus,0
Bangladesh,Belgium,20
Bangladesh,Bosnia and Herzegovina,0
Bangladesh,Brazil,4017
Bangladesh,Bulgaria,18
Bangladesh,Canada,578
Bangladesh,Chile,5
Bangladesh,China,0
Bangladesh,"China, Hong Kong SAR",0
Bangladesh,Costa Rica,16
Bangladesh,Croatia,15
Bangladesh,Cyprus,274
Bangladesh,Czech Rep.,0
Bangladesh,Denmark,12
Bangladesh,Ecuador,12
Bangladesh,Egypt,0
Bangladesh,Estonia,0
Bangladesh,Finland,10
Bangladesh,France,2451
Bangladesh,Georgia,23
Bangladesh,Germany,2393
Bangladesh,Greece,1618
Bangladesh,Hungary,0
Bangladesh,Iceland,5
Bangladesh,Indonesia,28
Bangladesh,Iraq,0
Bangladesh,Ireland,280
Bangladesh,Italy,18209
Bangladesh,Jamaica,0
Bangladesh,Japan,1049
Bangladesh,Jordan,8
Bangladesh,Lebanon,30
Bangladesh,Liechtenstein,0
Bangladesh,Luxembourg,0
Bangladesh,Malaysia,17
Bangladesh,Malta,0
Bangladesh,Mexico,10
Bangladesh,Namibia,0
Bangladesh,Nauru,33
Bangladesh,Nepal,0
Bangladesh,Netherlands,5
Bangladesh,New Zealand,19
Bangladesh,Norway,12
Bangladesh,Pakistan,0
Bangladesh,Panama,18
Bangladesh,Papua New Guinea,0
Bangladesh,Peru,0
Bangladesh,Philippines,0
Bangladesh,Poland,0
Bangladesh,Portugal,0
Bangladesh,Rep. of Korea,413
Bangladesh,Romania,0
Bangladesh,Russian Federation,0
Bangladesh,Slovakia,0
Bangladesh,Somalia,0
Bangladesh,South Africa,26366
Bangladesh,Spain,167
Bangladesh,Suriname,0
Bangladesh,Sweden,312
Bangladesh,Switzerland,19
Bangladesh,Syrian Arab Rep.,0
Bangladesh,Thailand,5
Bangladesh,Trinidad and Tobago,56
Bangladesh,Turkey,159
Bangladesh,Ukraine,140
Bangladesh,United Kingdom,1686
Bangladesh,United States of America,6225
Bangladesh,Yemen,0
Barbados,Brazil,0
Barbados,Canada,56
Barbados,Germany,0
Barbados,Ireland,0
Barbados,Sweden,0
Barbados,United Kingdom,11
Barbados,United States of America,7
Belarus,Argentina,0
Belarus,Australia,6
Belarus,Austria,49
Belarus,Barbados,0
Belarus,Belgium,45
Belarus,Brazil,0
Belarus,Bulgaria,0
Belarus,Canada,20
Belarus,Chile,0
Belarus,Costa Rica,0
Belarus,Croatia,0
Belarus,Cyprus,0
Belarus,Czech Rep.,11
Belarus,CÌ«te d'Ivoire,0
Belarus,Denmark,27
Belarus,Ecuador,0
Belarus,Estonia,0
Belarus,Finland,11
Belarus,France,10
Belarus,Georgia,0
Belarus,Germany,359
Belarus,Greece,5
Belarus,Iceland,0
Belarus,Ireland,7
Belarus,Israel,117
Belarus,Italy,36
Belarus,Jordan,0
Belarus,Latvia,0
Belarus,Liechtenstein,0
Belarus,Lithuania,18
Belarus,Luxembourg,10
Belarus,Malta,0
Belarus,Montenegro,0
Belarus,Netherlands,52
Belarus,New Zealand,0
Belarus,Norway,0
Belarus,Panama,0
Belarus,Peru,0
Belarus,Poland,31
Belarus,Portugal,0
Belarus,Rep. of Moldova,0
Belarus,Romania,0
Belarus,Russian Federation,10
Belarus,Spain,25
Belarus,Sweden,154
Belarus,Switzerland,21
Belarus,Ukraine,39
Belarus,United Kingdom,24
Belarus,United States of America,1769
Belarus,Uruguay,0
Belgium,Brazil,0
Belgium,Canada,15
Belgium,Germany,0
Belgium,Rwanda,0
Belgium,Sweden,0
Belgium,United States of America,18
Belize,Brazil,0
Belize,Canada,8
Belize,Germany,0
Belize,Guatemala,0
Belize,Mexico,5
Belize,United Kingdom,0
Belize,United States of America,194
Benin,Algeria,0
Benin,Argentina,0
Benin,Australia,0
Benin,Austria,45
Benin,Belgium,35
Benin,Brazil,212
Benin,Burundi,0
Benin,Canada,25
Benin,Chad,0
Benin,China,0
Benin,Colombia,0
Benin,CÌ«te d'Ivoire,0
Benin,Denmark,0
Benin,Ecuador,0
Benin,Egypt,0
Benin,Estonia,0
Benin,Finland,0
Benin,France,26
Benin,Germany,271
Benin,Ghana,0
Benin,Ireland,0
Benin,Israel,0
Benin,Italy,261
Benin,Lebanon,0
Benin,Luxembourg,5
Benin,Mauritania,6
Benin,Mexico,0
Benin,Morocco,5
Benin,Netherlands,0
Benin,Nigeria,0
Benin,Norway,0
Benin,Rep. of Korea,0
Benin,Senegal,6
Benin,Slovakia,0
Benin,Spain,7
Benin,Sweden,6
Benin,Switzerland,0
Benin,Togo,0
Benin,Turkey,0
Benin,United Kingdom,14
Benin,United States of America,186
Benin,Uruguay,0
Bhutan,Australia,20
Bhutan,Austria,0
Bhutan,Belgium,0
Bhutan,Brazil,35
Bhutan,Canada,0
Bhutan,Denmark,0
Bhutan,France,8
Bhutan,Germany,11
Bhutan,Greece,0
Bhutan,Ireland,0
Bhutan,Italy,0
Bhutan,Luxembourg,0
Bhutan,Malaysia,0
Bhutan,Nepal,0
Bhutan,Netherlands,0
Bhutan,Norway,0
Bhutan,Poland,0
Bhutan,Spain,0
Bhutan,Sweden,0
Bhutan,Switzerland,0
Bhutan,United Kingdom,0
Bhutan,United States of America,323
Bolivia (Plurinational State of),Argentina,0
Bolivia (Plurinational State of),Austria,0
Bolivia (Plurinational State of),Belgium,0
Bolivia (Plurinational State of),Brazil,382
Bolivia (Plurinational State of),Canada,0
Bolivia (Plurinational State of),Chile,22
Bolivia (Plurinational State of),Colombia,0
Bolivia (Plurinational State of),Costa Rica,0
Bolivia (Plurinational State of),Ecuador,0
Bolivia (Plurinational State of),Finland,0
Bolivia (Plurinational State of),France,0
Bolivia (Plurinational State of),Germany,0
Bolivia (Plurinational State of),Greece,0
Bolivia (Plurinational State of),Guatemala,0
Bolivia (Plurinational State of),Ireland,11
Bolivia (Plurinational State of),Italy,0
Bolivia (Plurinational State of),Mexico,0
Bolivia (Plurinational State of),New Zealand,0
Bolivia (Plurinational State of),Panama,0
Bolivia (Plurinational State of),Paraguay,0
Bolivia (Plurinational State of),Peru,5
Bolivia (Plurinational State of),Spain,11
Bolivia (Plurinational State of),Sweden,37
Bolivia (Plurinational State of),Switzerland,0
Bolivia (Plurinational State of),United Kingdom,7
Bolivia (Plurinational State of),United States of America,381
Bolivia (Plurinational State of),Uruguay,0
Bosnia and Herzegovina,Argentina,0
Bosnia and Herzegovina,Australia,15
Bosnia and Herzegovina,Austria,31
Bosnia and Herzegovina,Belgium,40
Bosnia and Herzegovina,Bosnia and Herzegovina,0
Bosnia and Herzegovina,Brazil,0
Bosnia and Herzegovina,Canada,10
Bosnia and Herzegovina,Croatia,0
Bosnia and Herzegovina,Cyprus,0
Bosnia and Herzegovina,Czech Rep.,0
Bosnia and Herzegovina,Denmark,0
Bosnia and Herzegovina,Ecuador,0
Bosnia and Herzegovina,Finland,0
Bosnia and Herzegovina,France,383
Bosnia and Herzegovina,Germany,963
Bosnia and Herzegovina,Greece,0
Bosnia and Herzegovina,Hungary,0
Bosnia and Herzegovina,Iceland,6
Bosnia and Herzegovina,India,0
Bosnia and Herzegovina,Ireland,0
Bosnia and Herzegovina,Italy,121
Bosnia and Herzegovina,Jordan,0
Bosnia and Herzegovina,Lebanon,0
Bosnia and Herzegovina,Liechtenstein,0
Bosnia and Herzegovina,Luxembourg,15
Bosnia and Herzegovina,Montenegro,0
Bosnia and Herzegovina,Morocco,0
Bosnia and Herzegovina,Netherlands,0
Bosnia and Herzegovina,Norway,0
Bosnia and Herzegovina,Panama,0
Bosnia and Herzegovina,Peru,0
Bosnia and Herzegovina,Portugal,0
Bosnia and Herzegovina,Rep. of Korea,0
Bosnia and Herzegovina,Romania,0
Bosnia and Herzegovina,Russian Federation,0
Bosnia and Herzegovina,Serbia and Kosovo (S/RES/1244 (1999)),0
Bosnia and Herzegovina,Slovakia,0
Bosnia and Herzegovina,Slovenia,0
Bosnia and Herzegovina,Spain,0
Bosnia and Herzegovina,Sweden,98
Bosnia and Herzegovina,Switzerland,23
Bosnia and Herzegovina,Ukraine,0
Bosnia and Herzegovina,United Kingdom,0
Bosnia and Herzegovina,United States of America,157
Botswana,Australia,0
Botswana,Canada,29
Botswana,Czech Rep.,0
Botswana,France,0
Botswana,Germany,0
Botswana,Greece,0
Botswana,Ireland,20
Botswana,Israel,0
Botswana,Italy,0
Botswana,Netherlands,0
Botswana,Sweden,0
Botswana,United Kingdom,24
Botswana,United States of America,9
Botswana,Zimbabwe,0
Brazil,Argentina,7
Brazil,Australia,25
Brazil,Austria,0
Brazil,Belgium,10
Brazil,Canada,378
Brazil,Costa Rica,6
Brazil,Denmark,0
Brazil,Ecuador,6
Brazil,Finland,0
Brazil,France,0
Brazil,Germany,12
Brazil,Greece,0
Brazil,Ireland,59
Brazil,Israel,0
Brazil,Italy,117
Brazil,Jordan,0
Brazil,Malawi,0
Brazil,Malta,0
Brazil,Mexico,0
Brazil,Netherlands,0
Brazil,New Zealand,0
Brazil,Panama,5
Brazil,Peru,0
Brazil,Rep. of Korea,0
Brazil,Spain,47
Brazil,Sweden,14
Brazil,Switzerland,0
Brazil,United Kingdom,36
Brazil,United States of America,6052
Brazil,Uruguay,7
Brunei Darussalam,Australia,10
Brunei Darussalam,Switzerland,0
Brunei Darussalam,United States of America,0
Bulgaria,Argentina,0
Bulgaria,Australia,6
Bulgaria,Austria,0
Bulgaria,Belgium,15
Bulgaria,Brazil,0
Bulgaria,Canada,28
Bulgaria,Costa Rica,0
Bulgaria,Cyprus,0
Bulgaria,Czech Rep.,0
Bulgaria,Denmark,0
Bulgaria,Finland,0
Bulgaria,France,0
Bulgaria,Germany,13
Bulgaria,Greece,0
Bulgaria,Israel,0
Bulgaria,Lebanon,0
Bulgaria,Norway,0
Bulgaria,Peru,0
Bulgaria,Rep. of Korea,0
Bulgaria,Russian Federation,0
Bulgaria,Slovakia,0
Bulgaria,Spain,0
Bulgaria,Sweden,0
Bulgaria,Switzerland,8
Bulgaria,Ukraine,0
Bulgaria,United States of America,230
Burkina Faso,Algeria,0
Burkina Faso,Argentina,0
Burkina Faso,Australia,0
Burkina Faso,Austria,5
Burkina Faso,Belgium,65
Burkina Faso,Benin,0
Burkina Faso,Brazil,189
Burkina Faso,Bulgaria,0
Burkina Faso,Burkina Faso,0
Burkina Faso,Cameroon,9
Burkina Faso,Canada,52
Burkina Faso,Chad,0
Burkina Faso,Costa Rica,0
Burkina Faso,Cyprus,0
Burkina Faso,Czech Rep.,0
Burkina Faso,CÌ«te d'Ivoire,6
Burkina Faso,Denmark,0
Burkina Faso,Ecuador,0
Burkina Faso,Egypt,0
Burkina Faso,Finland,0
Burkina Faso,France,69
Burkina Faso,Germany,224
Burkina Faso,Ghana,0
Burkina Faso,Greece,20
Burkina Faso,Hungary,0
Burkina Faso,Ireland,0
Burkina Faso,Israel,0
Burkina Faso,Italy,1431
Burkina Faso,Jordan,0
Burkina Faso,Kenya,0
Burkina Faso,Lebanon,0
Burkina Faso,Liberia,0
Burkina Faso,Luxembourg,0
Burkina Faso,Malta,0
Burkina Faso,Morocco,15
Burkina Faso,Netherlands,0
Burkina Faso,Norway,0
Burkina Faso,Panama,0
Burkina Faso,Poland,0
Burkina Faso,Rep. of Korea,18
Burkina Faso,Russian Federation,0
Burkina Faso,Senegal,0
Burkina Faso,Spain,20
Burkina Faso,Sweden,8
Burkina Faso,Switzerland,7
Burkina Faso,Syrian Arab Rep.,0
Burkina Faso,Togo,0
Burkina Faso,Turkey,0
Burkina Faso,Ukraine,0
Burkina Faso,United Kingdom,8
Burkina Faso,United States of America,3388
Burundi,Algeria,0
Burundi,Angola,94
Burundi,Argentina,0
Burundi,Australia,33
Burundi,Austria,7
Burundi,Belgium,355
Burundi,Benin,0
Burundi,Botswana,0
Burundi,Brazil,25
Burundi,Bulgaria,0
Burundi,Burkina Faso,0
Burundi,Burundi,0
Burundi,Cameroon,29
Burundi,Canada,591
Burundi,Central African Rep.,0
Burundi,Chad,0
Burundi,China,7
Burundi,"China, Hong Kong SAR",0
Burundi,Congo,14
Burundi,Cyprus,0
Burundi,Czech Rep.,0
Burundi,CÌ«te d'Ivoire,0
Burundi,Dem. Rep. of the Congo,225
Burundi,Denmark,5
Burundi,Djibouti,0
Burundi,Ecuador,0
Burundi,Egypt,31
Burundi,Ethiopia,74
Burundi,Finland,0
Burundi,France,195
Burundi,Gabon,0
Burundi,Germany,45
Burundi,Ghana,15
Burundi,Greece,14
Burundi,Guinea,0
Burundi,Guinea-Bissau,0
Burundi,India,0
Burundi,Ireland,11
Burundi,Israel,0
Burundi,Italy,10
Burundi,Japan,0
Burundi,Kazakhstan,0
Burundi,Kenya,10926
Burundi,Lesotho,0
Burundi,Luxembourg,0
Burundi,Madagascar,0
Burundi,Malawi,5490
Burundi,Mali,5
Burundi,Mauritania,0
Burundi,Mexico,0
Burundi,Morocco,0
Burundi,Mozambique,6770
Burundi,Namibia,154
Burundi,Netherlands,30
Burundi,Niger,0
Burundi,Norway,5
Burundi,Philippines,0
Burundi,Rep. of Korea,10
Burundi,Romania,0
Burundi,Rwanda,116
Burundi,Senegal,25
Burundi,Serbia and Kosovo (S/RES/1244 (1999)),0
Burundi,Slovakia,0
Burundi,South Africa,5865
Burundi,South Sudan,274
Burundi,Spain,0
Burundi,Sudan,8
Burundi,Swaziland,84
Burundi,Sweden,101
Burundi,Switzerland,33
Burundi,Thailand,0
Burundi,Togo,0
Burundi,Tunisia,0
Burundi,Turkey,28
Burundi,Uganda,2389
Burundi,Ukraine,7
Burundi,United Kingdom,23
Burundi,United Rep. of Tanzania,24455
Burundi,United States of America,693
Burundi,Venezuela (Bolivarian Republic of),0
Burundi,Zambia,1134
Burundi,Zimbabwe,17
Cabo Verde,Argentina,0
Cabo Verde,Austria,0
Cabo Verde,Brazil,153
Cabo Verde,France,0
Cabo Verde,Germany,0
Cabo Verde,Italy,0
Cabo Verde,Sweden,0
Cabo Verde,Switzerland,0
Cabo Verde,United Kingdom,0
Cabo Verde,United States of America,22
Cambodia,Australia,192
Cambodia,Austria,0
Cambodia,Belgium,0
Cambodia,Cameroon,0
Cambodia,Canada,24
Cambodia,CÌ«te d'Ivoire,0
Cambodia,Ecuador,0
Cambodia,Finland,0
Cambodia,France,13
Cambodia,Germany,25
Cambodia,Italy,0
Cambodia,Japan,1085
Cambodia,Malaysia,0
Cambodia,Netherlands,0
Cambodia,New Zealand,0
Cambodia,Norway,0
Cambodia,Philippines,12
Cambodia,Rep. of Korea,11
Cambodia,Slovakia,0
Cambodia,Sweden,0
Cambodia,Switzerland,0
Cambodia,Thailand,168
Cambodia,Turkey,0
Cambodia,Ukraine,0
Cambodia,United Kingdom,0
Cambodia,United States of America,46
Cameroon,Algeria,30
Cameroon,Angola,0
Cameroon,Argentina,33
Cameroon,Armenia,0
Cameroon,Australia,40
Cameroon,Austria,89
Cameroon,Belgium,360
Cameroon,Benin,10
Cameroon,Bolivia (Plurinational State of),0
Cameroon,Bosnia and Herzegovina,0
Cameroon,Brazil,332
Cameroon,Bulgaria,0
Cameroon,Burkina Faso,0
Cameroon,Cameroon,0
Cameroon,Canada,297
Cameroon,Central African Rep.,6
Cameroon,Chad,0
Cameroon,Chile,0
Cameroon,China,103
Cameroon,"China, Macao SAR",0
Cameroon,Colombia,0
Cameroon,Congo,10
Cameroon,Costa Rica,19
Cameroon,Croatia,0
Cameroon,Cyprus,187
Cameroon,Czech Rep.,5
Cameroon,CÌ«te d'Ivoire,0
Cameroon,Dem. Rep. of the Congo,17
Cameroon,Denmark,13
Cameroon,Djibouti,0
Cameroon,Ecuador,9
Cameroon,Egypt,27
Cameroon,Ethiopia,0
Cameroon,Finland,28
Cameroon,France,535
Cameroon,Gabon,0
