Year,Country of residence,Country,Refugee,Refugees
2017,Argentina,Costa Rica,5,5
2017,Argentina,Cuba,255,255
2017,Argentina,Czech Rep.,0,0
2017,Argentina,Germany,0,0
2017,Argentina,Dominican Rep.,*,0
2017,Argentina,Algeria,30,30
2017,Argentina,Ecuador,17,17
2017,Argentina,Egypt,*,0
2017,Argentina,Eritrea,*,0
2017,Argentina,Spain,0,0
2017,Argentina,Ethiopia,*,0
2017,Argentina,United Kingdom,0,0
2017,Argentina,Georgia,*,0
2017,Argentina,Ghana,38,38
2017,Argentina,Guinea,9,9
2017,Argentina,Gambia,*,0
2017,Argentina,Guinea-Bissau,8,8
2017,Argentina,Equatorial Guinea,0,0
2017,Argentina,Greece,0,0
2017,Argentina,Guatemala,*,0
2017,Argentina,Guyana,0,0
2017,Argentina,Honduras,*,0
2017,Argentina,Croatia,*,0
2017,Argentina,Haiti,66,66
2017,Argentina,Hungary,*,0
2017,Argentina,India,22,22
2017,Argentina,Iran (Islamic Rep. of),23,23
2017,Argentina,Iraq,22,22
2017,Argentina,Israel,0,0
2017,Argentina,Italy,*,0
2017,Argentina,Jamaica,0,0
2017,Argentina,Jordan,*,0
2017,Argentina,Kazakhstan,18,18
2017,Argentina,Kyrgyzstan,*,0
2017,Argentina,Kuwait,0,0
2017,Argentina,Lebanon,*,0
2017,Argentina,Liberia,44,44
2017,Argentina,Libya,0,0
2017,Argentina,Sri Lanka,37,37
2017,Argentina,Latvia,0,0
2017,Argentina,Morocco,*,0
2017,Argentina,Rep. of Moldova,0,0
2017,Argentina,Mexico,*,0
2017,Argentina,The former Yugoslav Republic of Macedonia,9,9
2017,Argentina,Mali,9,9
2017,Argentina,Mauritania,*,0
2017,Argentina,Malaysia,0,0
2017,Argentina,Nigeria,42,42
2017,Argentina,Nicaragua,*,0
2017,Argentina,Nepal,0,0
2017,Argentina,Pakistan,32,32
2017,Argentina,Panama,0,0
2017,Argentina,Peru,547,547
2017,Argentina,Philippines,*,0
2017,Argentina,Portugal,0,0
2017,Argentina,Paraguay,8,8
2017,Argentina,Palestinian,10,10
2017,Argentina,Qatar,0,0
2017,Argentina,Romania,51,51
2017,Argentina,Russian Federation,65,65
2017,Argentina,Rwanda,*,0
2017,Argentina,Sudan,*,0
2017,Argentina,Senegal,42,42
2017,Argentina,Singapore,0,0
2017,Argentina,Sierra Leone,37,37
2017,Argentina,El Salvador,22,22
2017,Argentina,Somalia,5,5
2017,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),*,0
2017,Argentina,Slovakia,0,0
2017,Argentina,Syrian Arab Rep.,370,370
2017,Argentina,Chad,*,0
2017,Argentina,Togo,*,0
2017,Argentina,Turkmenistan,*,0
2017,Argentina,Tunisia,*,0
2017,Argentina,Turkey,11,11
2017,Argentina,United Rep. of Tanzania,0,0
2017,Argentina,Ukraine,94,94
2017,Argentina,Uruguay,0,0
2017,Argentina,United States of America,*,0
2017,Argentina,Venezuela (Bolivarian Republic of),*,0
2017,Argentina,Viet Nam,0,0
2017,Argentina,Stateless,6,6
2017,Argentina,Various/Unknown,567,567
2017,Argentina,Yemen,15,15
2017,Argentina,South Africa,*,0
2017,Argentina,Zimbabwe,*,0
2017,Armenia,Afghanistan,0,0
2017,Armenia,Azerbaijan,2034,2034
2017,Armenia,Cote d'Ivoire,6,6
2017,Armenia,Cameroon,*,0
2017,Armenia,Georgia,8,8
2017,Armenia,Iran (Islamic Rep. of),31,31
2017,Armenia,Iraq,1061,1061
2017,Armenia,Jordan,*,0
2017,Armenia,Kazakhstan,*,0
2017,Armenia,Lebanon,19,19
2017,Armenia,Nigeria,*,0
2017,Armenia,Palestinian,6,6
2017,Armenia,Russian Federation,*,0
2017,Armenia,Sudan,*,0
2017,Armenia,Syrian Arab Rep.,14680,14680
2017,Armenia,Thailand,0,0
2017,Armenia,Turkmenistan,0,0
2017,Armenia,Turkey,*,0
2017,Armenia,Ukraine,113,113
2017,Armenia,Uzbekistan,0,0
2017,Armenia,Stateless,0,0
2017,Armenia,Yemen,5,5
2017,Antigua and Barbuda,Sri Lanka,0,0
2017,Antigua and Barbuda,Syrian Arab Rep.,*,0
2017,Australia,Afghanistan,10922,10922
2017,Australia,Angola,*,0
2017,Australia,Albania,59,59
2017,Australia,Andorra,0,0
2017,Australia,United Arab Emirates,7,7
2017,Australia,Argentina,*,0
2017,Australia,Armenia,*,0
2017,Australia,American Samoa,0,0
2017,Australia,Antigua and Barbuda,0,0
2017,Australia,Austria,0,0
2017,Australia,Azerbaijan,9,9
2017,Australia,Burundi,50,50
2017,Australia,Benin,*,0
2017,Australia,Burkina Faso,0,0
2017,Australia,Bangladesh,434,434
2017,Australia,Bulgaria,0,0
2017,Australia,Bahrain,97,97
2017,Australia,Bosnia and Herzegovina,0,0
2017,Australia,Belarus,7,7
2017,Australia,Brazil,*,0
2017,Australia,Brunei Darussalam,0,0
2017,Australia,Bhutan,*,0
2017,Australia,Botswana,*,0
2017,Australia,Central African Rep.,*,0
2017,Australia,Canada,0,0
2017,Australia,Chile,0,0
2017,Australia,China,2543,2543
2017,Australia,Cote d'Ivoire,5,5
2017,Australia,Cameroon,42,42
2017,Australia,Dem. Rep. of the Congo,48,48
2017,Australia,Congo,13,13
2017,Australia,Colombia,116,116
2017,Australia,Cuba,*,0
2017,Australia,Cyprus,0,0
2017,Australia,Czech Rep.,*,0
2017,Australia,Germany,5,5
2017,Australia,Djibouti,*,0
2017,Australia,Dominica,0,0
2017,Australia,Algeria,10,10
2017,Australia,Ecuador,*,0
2017,Australia,Egypt,1560,1560
2017,Australia,Eritrea,138,138
2017,Australia,Estonia,*,0
2017,Australia,Ethiopia,282,282
2017,Australia,Finland,0,0
2017,Australia,Fiji,406,406
2017,Australia,France,*,0
2017,Australia,Gabon,0,0
2017,Australia,United Kingdom,5,5
2017,Australia,Georgia,16,16
2017,Australia,Ghana,32,32
2017,Australia,Guinea,12,12
2017,Australia,Gambia,8,8
2017,Australia,Greece,6,6
2017,Australia,Guatemala,*,0
2017,Australia,"China, Hong Kong SAR",*,0
2017,Australia,Honduras,*,0
2017,Australia,Croatia,0,0
2017,Australia,Haiti,0,0
2017,Australia,Hungary,0,0
2017,Australia,Indonesia,205,205
2017,Australia,India,388,388
2017,Australia,Ireland,0,0
2017,Australia,Iran (Islamic Rep. of),8077,8077
2017,Australia,Iraq,4042,4042
2017,Australia,Israel,15,15
2017,Australia,Italy,5,5
2017,Australia,Jamaica,*,0
2017,Australia,Jordan,149,149
2017,Australia,Japan,10,10
2017,Australia,Kazakhstan,7,7
2017,Australia,Kenya,117,117
2017,Australia,Kyrgyzstan,14,14
2017,Australia,Cambodia,31,31
2017,Australia,Rep. of Korea,45,45
2017,Australia,Kuwait,54,54
2017,Australia,Lao People's Dem. Rep.,*,0
2017,Australia,Lebanon,548,548
2017,Australia,Liberia,37,37
2017,Australia,Libya,992,992
2017,Australia,Sri Lanka,4489,4489
2017,Australia,Lithuania,0,0
2017,Australia,Latvia,0,0
2017,Australia,Morocco,12,12
2017,Australia,Rep. of Moldova,0,0
2017,Australia,Madagascar,0,0
2017,Australia,Maldives,10,10
2017,Australia,Mexico,10,10
2017,Australia,The former Yugoslav Republic of Macedonia,*,0
2017,Australia,Mali,0,0
2017,Australia,Myanmar,516,516
2017,Australia,Mongolia,27,27
2017,Australia,Mozambique,*,0
2017,Australia,Mauritania,0,0
2017,Australia,Mauritius,7,7
2017,Australia,Malawi,0,0
2017,Australia,Malaysia,240,240
2017,Australia,Niger,*,0
2017,Australia,Nigeria,187,187
2017,Australia,Nicaragua,0,0
2017,Australia,Netherlands,*,0
2017,Australia,Norway,0,0
2017,Australia,Nepal,182,182
2017,Australia,New Zealand,26,26
2017,Australia,Oman,*,0
2017,Australia,Pakistan,4496,4496
2017,Australia,Peru,9,9
2017,Australia,Philippines,51,51
2017,Australia,Papua New Guinea,396,396
2017,Australia,Poland,*,0
2017,Australia,Dem. People's Rep. of Korea,19,19
2017,Australia,Portugal,0,0
2017,Australia,Palestinian,378,378
2017,Australia,Qatar,0,0
2017,Australia,Romania,9,9
2017,Australia,Russian Federation,55,55
2017,Australia,Rwanda,64,64
2017,Australia,Saudi Arabia,94,94
2017,Australia,Sudan,239,239
2017,Australia,Senegal,*,0
2017,Australia,Singapore,6,6
2017,Australia,Solomon Islands,21,21
2017,Australia,Sierra Leone,29,29
2017,Australia,El Salvador,10,10
2017,Australia,Somalia,139,139
2017,Australia,Serbia and Kosovo (S/RES/1244 (1999)),*,0
2017,Australia,South Sudan,7,7
2017,Australia,Slovakia,0,0
2017,Australia,Sweden,*,0
2017,Australia,Seychelles,0,0
2017,Australia,Syrian Arab Rep.,477,477
2017,Australia,Chad,*,0
2017,Australia,Togo,*,0
2017,Australia,Thailand,15,15
2017,Australia,Tibetan,17,17
2017,Australia,Tajikistan,*,0
2017,Australia,Turkmenistan,*,0
2017,Australia,Timor-Leste,8,8
2017,Australia,Tonga,34,34
2017,Australia,Tunisia,5,5
2017,Australia,Turkey,476,476
2017,Australia,United Rep. of Tanzania,14,14
2017,Australia,Uganda,65,65
2017,Australia,Ukraine,18,18
2017,Australia,Uruguay,0,0
2017,Australia,United States of America,20,20
2017,Australia,Uzbekistan,29,29
2017,Australia,Venezuela (Bolivarian Republic of),26,26
2017,Australia,Viet Nam,200,200
2017,Australia,Vanuatu,*,0
2017,Australia,Samoa,*,0
2017,Australia,Stateless,2609,2609
2017,Australia,Various/Unknown,47,47
2017,Australia,Yemen,27,27
2017,Australia,South Africa,36,36
2017,Australia,Zambia,10,10
2017,Australia,Zimbabwe,986,986
2017,Austria,Afghanistan,26939,26939
2017,Austria,Angola,82,82
2017,Austria,Albania,88,88
2017,Austria,United Arab Emirates,*,0
2017,Austria,Armenia,692,692
2017,Austria,Australia,0,0
2017,Austria,Azerbaijan,323,323
2017,Austria,Burundi,16,16
2017,Austria,Benin,*,0
2017,Austria,Burkina Faso,9,9
2017,Austria,Bangladesh,276,276
2017,Austria,Bulgaria,*,0
2017,Austria,Bosnia and Herzegovina,117,117
2017,Austria,Belarus,82,82
2017,Austria,Bolivia (Plurinational State of),11,11
2017,Austria,Brazil,*,0
2017,Austria,Bhutan,*,0
2017,Austria,Central African Rep.,0,0
2017,Austria,Canada,*,0
2017,Austria,China,559,559
2017,Austria,Cote d'Ivoire,70,70
2017,Austria,Cameroon,233,233
2017,Austria,Dem. Rep. of the Congo,406,406
2017,Austria,Congo,131,131
2017,Austria,Colombia,*,0
2017,Austria,Cabo Verde,0,0
2017,Austria,Cuba,14,14
2017,Austria,Czech Rep.,0,0
2017,Austria,Algeria,43,43
2017,Austria,Egypt,185,185
2017,Austria,Eritrea,303,303
2017,Austria,Estonia,*,0
2017,Austria,Ethiopia,188,188
2017,Austria,Gabon,*,0
2017,Austria,Georgia,555,555
2017,Austria,Ghana,31,31
2017,Austria,Guinea,142,142
2017,Austria,Gambia,134,134
2017,Austria,Guinea-Bissau,*,0
2017,Austria,Equatorial Guinea,*,0
2017,Austria,Greece,0,0
2017,Austria,Guatemala,9,9
2017,Austria,Croatia,*,0
2017,Austria,Haiti,*,0
2017,Austria,Indonesia,*,0
2017,Austria,India,63,63
2017,Austria,Ireland,*,0
2017,Austria,Iran (Islamic Rep. of),4565,4565
2017,Austria,Iraq,7414,7414
2017,Austria,Israel,11,11
2017,Austria,Jordan,62,62
2017,Austria,Kazakhstan,100,100
2017,Austria,Kenya,30,30
2017,Austria,Kyrgyzstan,244,244
2017,Austria,Cambodia,*,0
2017,Austria,Rep. of Korea,*,0
2017,Austria,Kuwait,*,0
2017,Austria,Lao People's Dem. Rep.,*,0
2017,Austria,Lebanon,68,68
2017,Austria,Liberia,18,18
2017,Austria,Libya,80,80
2017,Austria,Sri Lanka,67,67
2017,Austria,Morocco,30,30
2017,Austria,Rep. of Moldova,66,66
2017,Austria,Madagascar,*,0
2017,Austria,Mexico,*,0
2017,Austria,The former Yugoslav Republic of Macedonia,75,75
2017,Austria,Mali,11,11
2017,Austria,Myanmar,36,36
2017,Austria,Montenegro,12,12
2017,Austria,Mongolia,177,177
2017,Austria,Mauritania,*,0
2017,Austria,Mauritius,*,0
2017,Austria,Malawi,0,0
2017,Austria,Niger,0,0
2017,Austria,Nigeria,407,407
2017,Austria,Nicaragua,*,0
2017,Austria,Nepal,39,39
2017,Austria,Pakistan,270,270
2017,Austria,Peru,*,0
2017,Austria,Philippines,10,10
2017,Austria,Poland,0,0
2017,Austria,Portugal,0,0
2017,Austria,Romania,9,9
2017,Austria,Russian Federation,11301,11301
2017,Austria,Rwanda,19,19
2017,Austria,Saudi Arabia,*,0
2017,Austria,Sudan,298,298
2017,Austria,Senegal,13,13
2017,Austria,Sierra Leone,26,26
2017,Austria,El Salvador,0,0
2017,Austria,Somalia,5671,5671
2017,Austria,Serbia and Kosovo (S/RES/1244 (1999)),1216,1216
2017,Austria,South Sudan,5,5
2017,Austria,Slovakia,*,0
2017,Austria,Syrian Arab Rep.,43888,43888
2017,Austria,Chad,*,0
2017,Austria,Togo,12,12
2017,Austria,Thailand,0,0
2017,Austria,Tajikistan,166,166
2017,Austria,Turkmenistan,7,7
2017,Austria,Tunisia,7,7
2017,Austria,Turkey,802,802
2017,Austria,United Rep. of Tanzania,*,0
2017,Austria,Uganda,23,23
2017,Austria,Ukraine,292,292
2017,Austria,United States of America,*,0
2017,Austria,Uzbekistan,113,113
2017,Austria,Venezuela (Bolivarian Republic of),*,0
2017,Austria,Viet Nam,17,17
2017,Austria,Stateless,2326,2326
2017,Austria,Various/Unknown,3308,3308
2017,Austria,Yemen,163,163
2017,Austria,South Africa,*,0
2017,Austria,Zambia,*,0
2017,Austria,Zimbabwe,22,22
2017,Azerbaijan,Afghanistan,587,587
2017,Azerbaijan,Armenia,*,0
2017,Azerbaijan,Azerbaijan,0,0
2017,Azerbaijan,Cote d'Ivoire,*,0
2017,Azerbaijan,Iran (Islamic Rep. of),56,56
2017,Azerbaijan,Iraq,8,8
2017,Azerbaijan,Sri Lanka,0,0
2017,Azerbaijan,Pakistan,16,16
2017,Azerbaijan,Palestinian,*,0
2017,Azerbaijan,Russian Federation,419,419
2017,Azerbaijan,Syrian Arab Rep.,15,15
2017,Azerbaijan,Turkey,0,0
2017,Azerbaijan,Ukraine,6,6
2017,Azerbaijan,Uzbekistan,0,0
2017,Azerbaijan,Stateless,0,0
2017,Azerbaijan,Yemen,8,8
2017,Burundi,Angola,0,0
2017,Burundi,Burundi,0,0
2017,Burundi,Benin,0,0
2017,Burundi,Central African Rep.,*,0
2017,Burundi,Dem. Rep. of the Congo,61867,61867
2017,Burundi,Ethiopia,0,0
2017,Burundi,India,0,0
2017,Burundi,Kenya,*,0
2017,Burundi,Mali,13,13
2017,Burundi,Mozambique,*,0
2017,Burundi,Nigeria,0,0
2017,Burundi,Pakistan,*,0
2017,Burundi,Rwanda,422,422
2017,Burundi,Senegal,*,0
2017,Burundi,Somalia,23,23
2017,Burundi,South Sudan,*,0
2017,Burundi,Turkey,21,21
2017,Burundi,United Rep. of Tanzania,0,0
2017,Burundi,Uganda,7,7
2017,Burundi,United States of America,0,0
2017,Burundi,Stateless,0,0
2017,Burundi,Zambia,*,0
2017,Belgium,Afghanistan,3201,3201
2017,Belgium,Angola,91,91
2017,Belgium,Albania,534,534
2017,Belgium,United Arab Emirates,*,0
2017,Belgium,Armenia,127,127
2017,Belgium,Azerbaijan,75,75
2017,Belgium,Burundi,454,454
2017,Belgium,Benin,30,30
2017,Belgium,Burkina Faso,76,76
2017,Belgium,Bangladesh,18,18
2017,Belgium,Bulgaria,14,14
2017,Belgium,Bosnia and Herzegovina,50,50
2017,Belgium,Belarus,41,41
2017,Belgium,Bolivia (Plurinational State of),*,0
2017,Belgium,Brazil,0,0
2017,Belgium,Bhutan,*,0
2017,Belgium,Central African Rep.,41,41
2017,Belgium,Chile,48,48
2017,Belgium,China,1197,1197
2017,Belgium,Cote d'Ivoire,153,153
2017,Belgium,Cameroon,404,404
2017,Belgium,Dem. Rep. of the Congo,1015,1015
2017,Belgium,Congo,31,31
2017,Belgium,Colombia,33,33
2017,Belgium,Cuba,8,8
2017,Belgium,Czech Rep.,6,6
2017,Belgium,Germany,*,0
2017,Belgium,Djibouti,267,267
2017,Belgium,Dominican Rep.,*,0
2017,Belgium,Algeria,46,46
2017,Belgium,Egypt,50,50
2017,Belgium,Eritrea,1000,1000
2017,Belgium,Spain,*,0
2017,Belgium,Ethiopia,121,121
2017,Belgium,Gabon,16,16
2017,Belgium,United Kingdom,0,0
2017,Belgium,Georgia,49,49
2017,Belgium,Ghana,36,36
2017,Belgium,Guinea,2690,2690
2017,Belgium,Gambia,15,15
2017,Belgium,Guinea-Bissau,11,11
2017,Belgium,Guatemala,6,6
2017,Belgium,Guyana,*,0
2017,Belgium,Honduras,0,0
2017,Belgium,Croatia,5,5
2017,Belgium,Haiti,*,0
2017,Belgium,Hungary,49,49
2017,Belgium,India,20,20
2017,Belgium,Iran (Islamic Rep. of),960,960
2017,Belgium,Iraq,4000,4000
2017,Belgium,Israel,13,13
2017,Belgium,Jamaica,*,0
2017,Belgium,Jordan,24,24
2017,Belgium,Kazakhstan,38,38
2017,Belgium,Kenya,22,22
2017,Belgium,Kyrgyzstan,64,64
2017,Belgium,Cambodia,8,8
2017,Belgium,Kuwait,7,7
2017,Belgium,Lao People's Dem. Rep.,13,13
2017,Belgium,Lebanon,99,99
2017,Belgium,Liberia,15,15
2017,Belgium,Libya,60,60
2017,Belgium,Sri Lanka,394,394
2017,Belgium,Lithuania,7,7
2017,Belgium,Latvia,*,0
2017,Belgium,Morocco,70,70
2017,Belgium,Rep. of Moldova,*,0
2017,Belgium,Madagascar,*,0
2017,Belgium,Mexico,0,0
2017,Belgium,The former Yugoslav Republic of Macedonia,113,113
2017,Belgium,Mali,61,61
2017,Belgium,Myanmar,9,9
2017,Belgium,Montenegro,0,0
2017,Belgium,Mongolia,0,0
2017,Belgium,Mauritania,206,206
2017,Belgium,Namibia,*,0
2017,Belgium,Niger,91,91
2017,Belgium,Nigeria,43,43
2017,Belgium,Nepal,13,13
2017,Belgium,Pakistan,222,222
2017,Belgium,Peru,*,0
2017,Belgium,Philippines,0,0
2017,Belgium,Poland,154,154
2017,Belgium,Dem. People's Rep. of Korea,36,36
2017,Belgium,Palestinian,117,117
2017,Belgium,Romania,38,38
2017,Belgium,Russian Federation,2558,2558
2017,Belgium,Rwanda,803,803
2017,Belgium,Saudi Arabia,*,0
2017,Belgium,Sudan,174,174
2017,Belgium,Senegal,435,435
2017,Belgium,Sierra Leone,26,26
2017,Belgium,El Salvador,7,7
2017,Belgium,Somalia,1280,1280
2017,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),155,155
2017,Belgium,South Sudan,*,0
2017,Belgium,Suriname,0,0
2017,Belgium,Slovakia,0,0
2017,Belgium,Syrian Arab Rep.,9080,9080
2017,Belgium,Chad,34,34
2017,Belgium,Togo,176,176
2017,Belgium,Tajikistan,10,10
2017,Belgium,Turkmenistan,*,0
2017,Belgium,Tunisia,37,37
2017,Belgium,Turkey,587,587
2017,Belgium,United Rep. of Tanzania,50,50
2017,Belgium,Uganda,20,20
2017,Belgium,Ukraine,166,166
2017,Belgium,Uruguay,*,0
2017,Belgium,United States of America,0,0
2017,Belgium,Uzbekistan,32,32
2017,Belgium,Venezuela (Bolivarian Republic of),6,6
2017,Belgium,Viet Nam,40,40
2017,Belgium,Stateless,0,0
2017,Belgium,Various/Unknown,7503,7503
2017,Belgium,Yemen,24,24
2017,Belgium,South Africa,*,0
2017,Belgium,Zambia,*,0
2017,Belgium,Zimbabwe,*,0
2017,Benin,Angola,0,0
2017,Benin,Burundi,5,5
2017,Benin,Burkina Faso,0,0
2017,Benin,Central African Rep.,848,848
2017,Benin,Cote d'Ivoire,162,162
2017,Benin,Cameroon,0,0
2017,Benin,Dem. Rep. of the Congo,7,7
2017,Benin,Congo,0,0
2017,Benin,Eritrea,*,0
2017,Benin,Spain,0,0
2017,Benin,Haiti,*,0
2017,Benin,Iraq,*,0
2017,Benin,Liberia,0,0
2017,Benin,Sri Lanka,7,7
2017,Benin,Mali,5,5
2017,Benin,Nigeria,*,0
2017,Benin,Pakistan,5,5
2017,Benin,Romania,0,0
2017,Benin,Rwanda,0,0
2017,Benin,Sudan,*,0
2017,Benin,Sierra Leone,0,0
2017,Benin,Somalia,*,0
2017,Benin,Syrian Arab Rep.,7,7
2017,Benin,Chad,*,0
2017,Benin,Togo,0,0
2017,Benin,Turkey,5,5
2017,Benin,Uganda,0,0
2017,Benin,Yemen,0,0
2017,Burkina Faso,Burundi,30,30
2017,Burkina Faso,Burkina Faso,0,0
2017,Burkina Faso,Central African Rep.,167,167
2017,Burkina Faso,Cote d'Ivoire,*,0
2017,Burkina Faso,Cameroon,6,6
2017,Burkina Faso,Dem. Rep. of the Congo,33,33
2017,Burkina Faso,Congo,26,26
2017,Burkina Faso,Mali,23766,23766
2017,Burkina Faso,Pakistan,*,0
2017,Burkina Faso,Rwanda,23,23
2017,Burkina Faso,Syrian Arab Rep.,*,0
2017,Burkina Faso,Chad,82,82
2017,Burkina Faso,Togo,14,14
2017,Burkina Faso,Turkey,*,0
2017,Bangladesh,Cote d'Ivoire,*,0
2017,Bangladesh,Dem. Rep. of the Congo,0,0
2017,Bangladesh,Iran (Islamic Rep. of),0,0
2017,Bangladesh,Iraq,*,0
2017,Bangladesh,Myanmar,932204,932204
2017,Bangladesh,Palestinian,*,0
2017,Bangladesh,Sudan,*,0
2017,Bangladesh,Somalia,5,5
2017,Bangladesh,Syrian Arab Rep.,0,0
2017,Bangladesh,Turkey,0,0
2017,Bangladesh,Yemen,*,0
2017,Bulgaria,Afghanistan,169,169
2017,Bulgaria,United Arab Emirates,*,0
2017,Bulgaria,Armenia,15,15
2017,Bulgaria,Azerbaijan,0,0
2017,Bulgaria,Burundi,*,0
2017,Bulgaria,Burkina Faso,0,0
2017,Bulgaria,Bangladesh,8,8
2017,Bulgaria,Belarus,0,0
2017,Bulgaria,China,0,0
2017,Bulgaria,Cote d'Ivoire,*,0
2017,Bulgaria,Cameroon,0,0
2017,Bulgaria,Dem. Rep. of the Congo,*,0
2017,Bulgaria,Congo,8,8
2017,Bulgaria,Cuba,*,0
2017,Bulgaria,Algeria,*,0
2017,Bulgaria,Egypt,8,8
2017,Bulgaria,Eritrea,*,0
2017,Bulgaria,Ethiopia,13,13
2017,Bulgaria,Gabon,0,0
2017,Bulgaria,Georgia,*,0
2017,Bulgaria,Ghana,0,0
2017,Bulgaria,Guinea,*,0
2017,Bulgaria,Gambia,*,0
2017,Bulgaria,India,*,0
2017,Bulgaria,Iran (Islamic Rep. of),60,60
2017,Bulgaria,Iraq,1221,1221
2017,Bulgaria,Israel,0,0
2017,Bulgaria,Jordan,7,7
