Origin,Year,Type,Value,ocode
Algeria,2001,Refugees,8418,DZA
Algeria,2002,Asylum-seekers,2380,DZA
Algeria,2002,Refugees,12107,DZA
Algeria,2003,Asylum-seekers,1922,DZA
Algeria,2003,Refugees,11667,DZA
Algeria,2004,Asylum-seekers,1348,DZA
Algeria,2004,Refugees,10673,DZA
Algeria,2005,Asylum-seekers,1391,DZA
Algeria,2005,Refugees,12041,DZA
Algeria,2006,Asylum-seekers,1544,DZA
Algeria,2006,Refugees,8353,DZA
Algeria,2007,Asylum-seekers,1356,DZA
Algeria,2007,Refugees,10615,DZA
Algeria,2008,Asylum-seekers,1536,DZA
Algeria,2008,Refugees,9060,DZA
Algeria,2009,Asylum-seekers,1546,DZA
Algeria,2009,Refugees,8185,DZA
Algeria,2010,Asylum-seekers,1713,DZA
Algeria,2010,Refugees,6689,DZA
Algeria,2011,Asylum-seekers,2187,DZA
Algeria,2011,Refugees,6121,DZA
Algeria,2012,Asylum-seekers,2463,DZA
Algeria,2012,Refugees,5677,DZA
Algeria,2013,Asylum-seekers,4295,DZA
Algeria,2013,Refugees,3660,DZA
Algeria,2014,Asylum-seekers,5536,DZA
Algeria,2014,Refugees,3524,DZA
Algeria,2015,Asylum-seekers,7622,DZA
Algeria,2015,Refugees,3490,DZA
Algeria,2016,Asylum-seekers,7162,DZA
Algeria,2016,Refugees,3726,DZA
Algeria,2017,Asylum-seekers,6396,DZA
Algeria,2017,Refugees,3991,DZA
American Samoa,2016,Asylum-seekers,3,ASM
American Samoa,2016,Refugees,0,ASM
American Samoa,2017,Asylum-seekers,0,ASM
American Samoa,2017,Refugees,0,ASM
Andorra,1994,Refugees,2,AND
Andorra,1995,Refugees,2,AND
Andorra,1996,Refugees,3,AND
Andorra,1997,Refugees,1,AND
Andorra,1998,Refugees,2,AND
Andorra,1999,Refugees,3,AND
Andorra,2000,Asylum-seekers,1,AND
Andorra,2000,Refugees,2,AND
Andorra,2001,Asylum-seekers,7,AND
Andorra,2001,Refugees,1,AND
Andorra,2002,Asylum-seekers,3,AND
Andorra,2002,Refugees,10,AND
Andorra,2003,Asylum-seekers,3,AND
Andorra,2003,Refugees,10,AND
Andorra,2004,Asylum-seekers,4,AND
Andorra,2004,Refugees,3,AND
Andorra,2005,Asylum-seekers,3,AND
Andorra,2005,Refugees,9,AND
Andorra,2006,Asylum-seekers,1,AND
Andorra,2006,Refugees,10,AND
Andorra,2007,Asylum-seekers,3,AND
Andorra,2007,Refugees,9,AND
Andorra,2008,Asylum-seekers,3,AND
Andorra,2008,Refugees,6,AND
Andorra,2009,Asylum-seekers,2,AND
Andorra,2009,Refugees,6,AND
Andorra,2010,Asylum-seekers,2,AND
Andorra,2010,Refugees,6,AND
Andorra,2011,Asylum-seekers,0,AND
Andorra,2011,Refugees,6,AND
Andorra,2012,Asylum-seekers,0,AND
Andorra,2012,Refugees,7,AND
Andorra,2013,Asylum-seekers,0,AND
Andorra,2013,Refugees,5,AND
Andorra,2014,Asylum-seekers,0,AND
Andorra,2014,Refugees,7,AND
Andorra,2015,Asylum-seekers,4,AND
Andorra,2015,Refugees,5,AND
Andorra,2016,Asylum-seekers,4,AND
Andorra,2016,Refugees,2,AND
Andorra,2017,Asylum-seekers,0,AND
Andorra,2017,Refugees,0,AND
Angola,1960,Refugees,150000,AGO
Angola,1961,Refugees,150000,AGO
Angola,1962,Refugees,170000,AGO
Angola,1963,Refugees,175000,AGO
Angola,1964,Refugees,200000,AGO
Angola,1965,Refugees,220000,AGO
Angola,1966,Refugees,303800,AGO
Angola,1967,Refugees,356200,AGO
Angola,1968,Refugees,381360,AGO
Angola,1969,Refugees,408190,AGO
Angola,1970,Refugees,414120,AGO
Angola,1971,Refugees,419690,AGO
Angola,1972,Refugees,421500,AGO
Angola,1973,Refugees,426550,AGO
Angola,1974,Refugees,487390,AGO
Angola,1975,Refugees,496830,AGO
Angola,1976,Refugees,499190,AGO
Angola,1977,Refugees,529830,AGO
Angola,1978,Refugees,646110,AGO
Angola,1979,Refugees,652980,AGO
Angola,1980,Refugees,449030,AGO
Angola,1981,Refugees,457060,AGO
Angola,1982,Refugees,465891,AGO
Angola,1983,Refugees,298110,AGO
Angola,1984,Refugees,357821,AGO
Angola,1985,Refugees,317392,AGO
Angola,1986,Refugees,355412,AGO
Angola,1987,Refugees,391733,AGO
Angola,1988,Refugees,407566,AGO
Angola,1989,Refugees,408692,AGO
Angola,1990,Refugees,407760,AGO
Angola,1991,Refugees,381636,AGO
Angola,1992,Refugees,300492,AGO
Angola,1993,Refugees,323831,AGO
Angola,1994,Refugees,282577,AGO
Angola,1995,Refugees,246657,AGO
Angola,1996,Refugees,249687,AGO
Angola,1997,Refugees,267696,AGO
Angola,1998,Refugees,319430,AGO
Angola,1999,Refugees,353478,AGO
Angola,2000,Asylum-seekers,5493,AGO
Angola,2000,Refugees,433760,AGO
Angola,2001,Asylum-seekers,9853,AGO
Angola,2001,Refugees,470625,AGO
Angola,2002,Asylum-seekers,14282,AGO
Angola,2002,Refugees,435421,AGO
Angola,2003,Asylum-seekers,11718,AGO
Angola,2003,Refugees,329583,AGO
Angola,2004,Asylum-seekers,9548,AGO
Angola,2004,Refugees,228851,AGO
Angola,2005,Asylum-seekers,8352,AGO
Angola,2005,Refugees,215827,AGO
Angola,2006,Asylum-seekers,1581,AGO
Angola,2006,Refugees,206501,AGO
Angola,2007,Asylum-seekers,798,AGO
Angola,2007,Refugees,186155,AGO
Angola,2008,Asylum-seekers,741,AGO
Angola,2008,Refugees,171393,AGO
Angola,2009,Asylum-seekers,699,AGO
Angola,2009,Refugees,141021,AGO
Angola,2010,Asylum-seekers,732,AGO
Angola,2010,Refugees,134858,AGO
Angola,2011,Asylum-seekers,783,AGO
Angola,2011,Refugees,128664,AGO
Angola,2012,Asylum-seekers,1166,AGO
Angola,2012,Refugees,19258,AGO
Angola,2013,Asylum-seekers,1460,AGO
Angola,2013,Refugees,10286,AGO
Angola,2014,Asylum-seekers,1774,AGO
Angola,2014,Refugees,9484,AGO
Angola,2015,Asylum-seekers,3281,AGO
Angola,2015,Refugees,11869,AGO
Angola,2016,Asylum-seekers,4773,AGO
Angola,2016,Refugees,8404,AGO
Angola,2017,Asylum-seekers,7808,AGO
Angola,2017,Refugees,8267,AGO
Anguilla,2014,Asylum-seekers,0,AIA
Anguilla,2014,Refugees,1,AIA
Anguilla,2015,Asylum-seekers,0,AIA
Anguilla,2015,Refugees,1,AIA
Anguilla,2016,Asylum-seekers,0,AIA
Anguilla,2016,Refugees,1,AIA
Antigua and Barbuda,1997,Refugees,1,ATG
Antigua and Barbuda,1998,Refugees,2,ATG
Antigua and Barbuda,1999,Refugees,2,ATG
Antigua and Barbuda,2000,Asylum-seekers,8,ATG
Antigua and Barbuda,2000,Refugees,1,ATG
Antigua and Barbuda,2001,Asylum-seekers,9,ATG
Antigua and Barbuda,2001,Refugees,4,ATG
Antigua and Barbuda,2002,Asylum-seekers,41,ATG
Antigua and Barbuda,2002,Refugees,5,ATG
Antigua and Barbuda,2003,Asylum-seekers,26,ATG
Antigua and Barbuda,2003,Refugees,5,ATG
Antigua and Barbuda,2004,Asylum-seekers,15,ATG
Antigua and Barbuda,2004,Refugees,13,ATG
Antigua and Barbuda,2005,Asylum-seekers,11,ATG
Antigua and Barbuda,2005,Refugees,13,ATG
Antigua and Barbuda,2006,Asylum-seekers,9,ATG
Antigua and Barbuda,2006,Refugees,19,ATG
Antigua and Barbuda,2007,Asylum-seekers,0,ATG
Antigua and Barbuda,2007,Refugees,25,ATG
Antigua and Barbuda,2008,Asylum-seekers,26,ATG
Antigua and Barbuda,2008,Refugees,26,ATG
Antigua and Barbuda,2009,Asylum-seekers,42,ATG
Antigua and Barbuda,2009,Refugees,28,ATG
Antigua and Barbuda,2010,Asylum-seekers,31,ATG
Antigua and Barbuda,2010,Refugees,30,ATG
Antigua and Barbuda,2011,Asylum-seekers,33,ATG
Antigua and Barbuda,2011,Refugees,32,ATG
Antigua and Barbuda,2012,Asylum-seekers,34,ATG
Antigua and Barbuda,2012,Refugees,45,ATG
Antigua and Barbuda,2013,Asylum-seekers,29,ATG
Antigua and Barbuda,2013,Refugees,49,ATG
Antigua and Barbuda,2014,Asylum-seekers,17,ATG
Antigua and Barbuda,2014,Refugees,53,ATG
Antigua and Barbuda,2015,Asylum-seekers,12,ATG
Antigua and Barbuda,2015,Refugees,56,ATG
Antigua and Barbuda,2016,Asylum-seekers,32,ATG
Antigua and Barbuda,2016,Refugees,83,ATG
Antigua and Barbuda,2017,Asylum-seekers,54,ATG
Antigua and Barbuda,2017,Refugees,94,ATG
Argentina,1980,Refugees,38,ARG
Argentina,1981,Refugees,38,ARG
Argentina,1982,Refugees,1019,ARG
Argentina,1983,Refugees,42,ARG
Argentina,1984,Refugees,42,ARG
Argentina,1985,Refugees,51,ARG
Argentina,1986,Refugees,52,ARG
Argentina,1987,Refugees,47,ARG
Argentina,1988,Refugees,46,ARG
Argentina,1989,Refugees,103,ARG
Argentina,1990,Refugees,334,ARG
Argentina,1991,Refugees,198,ARG
Argentina,1992,Refugees,113,ARG
Argentina,1993,Refugees,98,ARG
Argentina,1994,Refugees,469,ARG
Argentina,1995,Refugees,330,ARG
Argentina,1996,Refugees,217,ARG
Argentina,1997,Refugees,159,ARG
Argentina,1998,Refugees,142,ARG
Argentina,1999,Refugees,586,ARG
Argentina,2000,Asylum-seekers,1562,ARG
Argentina,2000,Refugees,609,ARG
Argentina,2001,Asylum-seekers,1453,ARG
Argentina,2001,Refugees,659,ARG
Argentina,2002,Asylum-seekers,1333,ARG
Argentina,2002,Refugees,771,ARG
Argentina,2003,Asylum-seekers,1135,ARG
Argentina,2003,Refugees,784,ARG
Argentina,2004,Asylum-seekers,507,ARG
Argentina,2004,Refugees,796,ARG
Argentina,2005,Asylum-seekers,292,ARG
Argentina,2005,Refugees,856,ARG
Argentina,2006,Asylum-seekers,179,ARG
Argentina,2006,Refugees,894,ARG
Argentina,2007,Asylum-seekers,121,ARG
Argentina,2007,Refugees,1171,ARG
Argentina,2008,Asylum-seekers,143,ARG
Argentina,2008,Refugees,1047,ARG
Argentina,2009,Asylum-seekers,157,ARG
Argentina,2009,Refugees,608,ARG
Argentina,2010,Asylum-seekers,90,ARG
Argentina,2010,Refugees,557,ARG
Argentina,2011,Asylum-seekers,60,ARG
Argentina,2011,Refugees,518,ARG
Argentina,2012,Asylum-seekers,48,ARG
Argentina,2012,Refugees,447,ARG
Argentina,2013,Asylum-seekers,84,ARG
Argentina,2013,Refugees,388,ARG
Argentina,2014,Asylum-seekers,117,ARG
Argentina,2014,Refugees,318,ARG
Argentina,2015,Asylum-seekers,170,ARG
Argentina,2015,Refugees,194,ARG
Argentina,2016,Asylum-seekers,214,ARG
Argentina,2016,Refugees,128,ARG
Argentina,2017,Asylum-seekers,348,ARG
Argentina,2017,Refugees,111,ARG
Armenia,1964,Refugees,170,ARM
Armenia,1968,Refugees,200,ARM
Armenia,1969,Refugees,200,ARM
Armenia,1970,Refugees,200,ARM
Armenia,1971,Refugees,4070,ARM
Armenia,1972,Refugees,3500,ARM
Armenia,1977,Refugees,440,ARM
Armenia,1978,Refugees,420,ARM
Armenia,1979,Refugees,700,ARM
Armenia,1980,Refugees,333,ARM
Armenia,1981,Refugees,333,ARM
Armenia,1982,Refugees,733,ARM
Armenia,1983,Refugees,333,ARM
Armenia,1984,Refugees,333,ARM
Armenia,1985,Refugees,333,ARM
Armenia,1986,Refugees,528,ARM
Armenia,1987,Refugees,208,ARM
Armenia,1988,Refugees,301,ARM
Armenia,1989,Refugees,1,ARM
Armenia,1990,Refugees,1,ARM
Armenia,1991,Refugees,1,ARM
Armenia,1992,Refugees,195003,ARM
Armenia,1993,Refugees,200116,ARM
Armenia,1994,Refugees,201842,ARM
Armenia,1995,Refugees,201442,ARM
Armenia,1996,Refugees,203231,ARM
Armenia,1997,Refugees,203690,ARM
Armenia,1998,Refugees,193150,ARM
Armenia,1999,Refugees,193231,ARM
Armenia,2000,Asylum-seekers,5228,ARM
Armenia,2000,Refugees,5786,ARM
Armenia,2001,Asylum-seekers,6078,ARM
Armenia,2001,Refugees,7207,ARM
Armenia,2002,Asylum-seekers,5669,ARM
Armenia,2002,Refugees,13249,ARM
Armenia,2003,Asylum-seekers,4967,ARM
Armenia,2003,Refugees,13162,ARM
Armenia,2004,Asylum-seekers,4049,ARM
Armenia,2004,Refugees,13410,ARM
Armenia,2005,Asylum-seekers,4352,ARM
Armenia,2005,Refugees,13965,ARM
Armenia,2006,Asylum-seekers,5402,ARM
Armenia,2006,Refugees,14917,ARM
Armenia,2007,Asylum-seekers,3983,ARM
Armenia,2007,Refugees,15436,ARM
Armenia,2008,Asylum-seekers,3768,ARM
Armenia,2008,Refugees,16336,ARM
Armenia,2009,Asylum-seekers,4081,ARM
Armenia,2009,Refugees,18000,ARM
Armenia,2010,Asylum-seekers,2957,ARM
Armenia,2010,Refugees,17547,ARM
Armenia,2011,Asylum-seekers,2657,ARM
Armenia,2011,Refugees,16487,ARM
Armenia,2012,Asylum-seekers,2889,ARM
Armenia,2012,Refugees,15935,ARM
Armenia,2013,Asylum-seekers,5369,ARM
Armenia,2013,Refugees,11998,ARM
Armenia,2014,Asylum-seekers,6943,ARM
Armenia,2014,Refugees,11848,ARM
Armenia,2015,Asylum-seekers,8502,ARM
Armenia,2015,Refugees,11214,ARM
Armenia,2016,Asylum-seekers,13100,ARM
Armenia,2016,Refugees,10719,ARM
Armenia,2017,Asylum-seekers,14907,ARM
Armenia,2017,Refugees,10766,ARM
Aruba,2010,Asylum-seekers,1,ABW
Aruba,2011,Asylum-seekers,0,ABW
Aruba,2012,Asylum-seekers,0,ABW
Aruba,2014,Asylum-seekers,0,ABW
Aruba,2014,Refugees,0,ABW
Australia,1994,Refugees,2,AUS
Australia,1995,Refugees,1,AUS
Australia,1996,Refugees,1,AUS
Australia,1997,Refugees,2,AUS
Australia,1998,Refugees,1,AUS
Australia,1999,Refugees,3,AUS
Australia,2000,Asylum-seekers,4,AUS
Australia,2000,Refugees,3,AUS
Australia,2001,Asylum-seekers,11,AUS
Australia,2001,Refugees,1,AUS
Australia,2002,Asylum-seekers,15,AUS
Australia,2002,Refugees,10,AUS
Australia,2003,Asylum-seekers,7,AUS
Australia,2003,Refugees,15,AUS
Australia,2004,Asylum-seekers,12,AUS
Australia,2004,Refugees,13,AUS
Australia,2005,Asylum-seekers,4,AUS
Australia,2005,Refugees,44,AUS
Australia,2006,Asylum-seekers,7,AUS
Australia,2006,Refugees,29,AUS
Australia,2007,Asylum-seekers,1,AUS
Australia,2007,Refugees,63,AUS
Australia,2008,Asylum-seekers,10,AUS
Australia,2008,Refugees,43,AUS
Australia,2009,Asylum-seekers,11,AUS
Australia,2009,Refugees,28,AUS
Australia,2010,Asylum-seekers,10,AUS
Australia,2010,Refugees,37,AUS
Australia,2011,Asylum-seekers,8,AUS
Australia,2011,Refugees,39,AUS
Australia,2012,Asylum-seekers,9,AUS
Australia,2012,Refugees,48,AUS
Australia,2013,Asylum-seekers,12,AUS
Australia,2013,Refugees,28,AUS
Australia,2014,Asylum-seekers,7,AUS
Australia,2014,Refugees,25,AUS
Australia,2015,Asylum-seekers,5,AUS
Australia,2015,Refugees,20,AUS
Australia,2016,Asylum-seekers,15,AUS
Australia,2016,Refugees,14,AUS
Australia,2017,Asylum-seekers,0,AUS
Australia,2017,Refugees,0,AUS
Austria,1994,Refugees,60,AUT
Austria,1995,Refugees,49,AUT
Austria,1996,Refugees,52,AUT
Austria,1997,Refugees,55,AUT
Austria,1998,Refugees,60,AUT
Austria,1999,Refugees,48,AUT
Austria,2000,Asylum-seekers,4,AUT
Austria,2000,Refugees,35,AUT
Austria,2001,Asylum-seekers,4,AUT
Austria,2001,Refugees,29,AUT
Austria,2002,Asylum-seekers,12,AUT
Austria,2002,Refugees,72,AUT
Austria,2003,Asylum-seekers,11,AUT
Austria,2003,Refugees,66,AUT
Austria,2004,Asylum-seekers,5,AUT
Austria,2004,Refugees,47,AUT
Austria,2005,Asylum-seekers,4,AUT
Austria,2005,Refugees,66,AUT
Austria,2006,Asylum-seekers,16,AUT
Austria,2006,Refugees,34,AUT
Austria,2007,Asylum-seekers,6,AUT
Austria,2007,Refugees,23,AUT
Austria,2008,Asylum-seekers,2,AUT
Austria,2008,Refugees,14,AUT
Austria,2009,Asylum-seekers,2,AUT
Austria,2009,Refugees,12,AUT
Austria,2010,Asylum-seekers,3,AUT
Austria,2010,Refugees,10,AUT
Austria,2011,Asylum-seekers,2,AUT
Austria,2011,Refugees,11,AUT
Austria,2012,Asylum-seekers,6,AUT
Austria,2012,Refugees,12,AUT
Austria,2013,Asylum-seekers,9,AUT
Austria,2013,Refugees,10,AUT
Austria,2014,Asylum-seekers,4,AUT
Austria,2014,Refugees,10,AUT
Austria,2015,Asylum-seekers,4,AUT
Austria,2015,Refugees,4,AUT
Austria,2016,Asylum-seekers,6,AUT
Austria,2016,Refugees,6,AUT
Austria,2017,Asylum-seekers,23,AUT
Austria,2017,Refugees,0,AUT
Azerbaijan,1992,Refugees,300000,AZE
Azerbaijan,1993,Refugees,328005,AZE
Azerbaijan,1994,Refugees,299095,AZE
Azerbaijan,1995,Refugees,200520,AZE
Azerbaijan,1996,Refugees,236086,AZE
Azerbaijan,1997,Refugees,234950,AZE
Azerbaijan,1998,Refugees,329657,AZE
Azerbaijan,1999,Refugees,311131,AZE
Azerbaijan,2000,Asylum-seekers,5285,AZE
Azerbaijan,2000,Refugees,284277,AZE
Azerbaijan,2001,Asylum-seekers,5746,AZE
Azerbaijan,2001,Refugees,268759,AZE
Azerbaijan,2002,Asylum-seekers,4999,AZE
Azerbaijan,2002,Refugees,260214,AZE
Azerbaijan,2003,Asylum-seekers,4630,AZE
Azerbaijan,2003,Refugees,253255,AZE
Azerbaijan,2004,Asylum-seekers,3951,AZE
Azerbaijan,2004,Refugees,250589,AZE
Azerbaijan,2005,Asylum-seekers,4125,AZE
Azerbaijan,2005,Refugees,233675,AZE
Azerbaijan,2006,Asylum-seekers,3098,AZE
Azerbaijan,2006,Refugees,126068,AZE
Azerbaijan,2007,Asylum-seekers,1902,AZE
Azerbaijan,2007,Refugees,15916,AZE
Azerbaijan,2008,Asylum-seekers,1872,AZE
Azerbaijan,2008,Refugees,16319,AZE
Azerbaijan,2009,Asylum-seekers,2470,AZE
Azerbaijan,2009,Refugees,16939,AZE
Azerbaijan,2010,Asylum-seekers,2072,AZE
Azerbaijan,2010,Refugees,16753,AZE
Azerbaijan,2011,Asylum-seekers,2193,AZE
Azerbaijan,2011,Refugees,16162,AZE
Azerbaijan,2012,Asylum-seekers,2193,AZE
Azerbaijan,2012,Refugees,15537,AZE
Azerbaijan,2013,Asylum-seekers,3622,AZE
Azerbaijan,2013,Refugees,10814,AZE
Azerbaijan,2014,Asylum-seekers,4584,AZE
Azerbaijan,2014,Refugees,10515,AZE
Azerbaijan,2015,Asylum-seekers,5230,AZE
Azerbaijan,2015,Refugees,9710,AZE
Azerbaijan,2016,Asylum-seekers,8097,AZE
Azerbaijan,2016,Refugees,10112,AZE
Azerbaijan,2017,Asylum-seekers,9537,AZE
Azerbaijan,2017,Refugees,10878,AZE
Bahamas,1998,Refugees,1,BHS
Bahamas,1999,Refugees,1,BHS
Bahamas,2000,Asylum-seekers,10,BHS
Bahamas,2000,Refugees,1,BHS
Bahamas,2001,Asylum-seekers,24,BHS
Bahamas,2002,Asylum-seekers,161,BHS
Bahamas,2002,Refugees,1,BHS
Bahamas,2003,Asylum-seekers,18,BHS
Bahamas,2003,Refugees,1,BHS
Bahamas,2004,Asylum-seekers,20,BHS
Bahamas,2004,Refugees,1,BHS
Bahamas,2005,Asylum-seekers,18,BHS
Bahamas,2005,Refugees,1,BHS
Bahamas,2006,Asylum-seekers,19,BHS
Bahamas,2006,Refugees,14,BHS
Bahamas,2007,Asylum-seekers,25,BHS
Bahamas,2007,Refugees,14,BHS
Bahamas,2008,Asylum-seekers,25,BHS
Bahamas,2008,Refugees,15,BHS
Bahamas,2009,Asylum-seekers,32,BHS
Bahamas,2009,Refugees,15,BHS
Bahamas,2010,Asylum-seekers,30,BHS
Bahamas,2010,Refugees,17,BHS
Bahamas,2011,Asylum-seekers,37,BHS
Bahamas,2011,Refugees,185,BHS
Bahamas,2012,Asylum-seekers,38,BHS
Bahamas,2012,Refugees,196,BHS
Bahamas,2013,Asylum-seekers,27,BHS
Bahamas,2013,Refugees,210,BHS
Bahamas,2014,Asylum-seekers,42,BHS
Bahamas,2014,Refugees,215,BHS
Bahamas,2015,Asylum-seekers,82,BHS
Bahamas,2015,Refugees,215,BHS
Bahamas,2016,Asylum-seekers,121,BHS
Bahamas,2016,Refugees,299,BHS
Bahamas,2017,Asylum-seekers,230,BHS
Bahamas,2017,Refugees,373,BHS
Bahrain,1990,Refugees,39,BHR
Bahrain,1991,Refugees,52,BHR
Bahrain,1992,Refugees,53,BHR
Bahrain,1993,Refugees,60,BHR
Bahrain,1994,Refugees,75,BHR
Bahrain,1995,Refugees,71,BHR
Bahrain,1996,Refugees,63,BHR
Bahrain,1997,Refugees,82,BHR
Bahrain,1998,Refugees,97,BHR
Bahrain,1999,Refugees,129,BHR
Bahrain,2000,Asylum-seekers,55,BHR
Bahrain,2000,Refugees,95,BHR
